id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
196,5759,5759,68729,162,393327345,9780393327340.0,Chuck Palahniuk,1996.0,Fight Club,Fight Club,eng,4.2,365349,388654,11176,4578,12632,58110,139554,173780,https://images.gr-assets.com/books/1357128997m/5759.jpg,https://images.gr-assets.com/books/1357128997s/5759.jpg
248,1622,1622,894834,1379,743477545,9780743477540.0,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,A Midsummer Night's Dream,eng,3.94,334241,361510,5724,5598,20498,84388,130051,120975,https://images.gr-assets.com/books/1327874534m/1622.jpg,https://images.gr-assets.com/books/1327874534s/1622.jpg
249,4588,4588,1940137,104,618711651,9780618711660.0,Jonathan Safran Foer,2005.0,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,en-US,3.97,294726,319116,21107,8847,20556,61303,109008,119402,https://images.gr-assets.com/books/1327879967m/4588.jpg,https://images.gr-assets.com/books/1327879967s/4588.jpg
255,662,662,817219,147,452011876,9780452011880.0,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,Atlas Shrugged,eng,3.68,283295,296645,14666,30901,27442,53762,78744,105796,https://images.gr-assets.com/books/1405868167m/662.jpg,https://images.gr-assets.com/books/1405868167s/662.jpg
258,1232,1232,3209783,279,143034901,9780143034900.0,"Carlos Ruiz Zafón, Lucia Graves",2001.0,La sombra del viento,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng,4.24,263685,317554,24652,4789,11769,42214,101612,157170,https://images.gr-assets.com/books/1344545047m/1232.jpg,https://images.gr-assets.com/books/1344545047s/1232.jpg
260,4865,4865,2370171,353,,9780671723650.0,Dale Carnegie,1936.0,How to Win Friends and Influence People,How to Win Friends and Influence People,eng,4.13,282623,305437,7909,6734,13880,50529,94743,139551,https://images.gr-assets.com/books/1442726934m/4865.jpg,https://images.gr-assets.com/books/1442726934s/4865.jpg
268,6334,6334,1499998,159,1400078776,9781400078780.0,Kazuo Ishiguro,2005.0,Never Let Me Go,Never Let Me Go,eng,3.8,294123,323627,21927,9081,26036,78203,118163,92144,https://images.gr-assets.com/books/1353048590m/6334.jpg,https://images.gr-assets.com/books/1353048590s/6334.jpg
273,1103,1103,1453585,105,812968069,9780812968060.0,Lisa See,2005.0,Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,eng,4.05,280475,290660,15807,3268,11286,56005,116178,103923,https://images.gr-assets.com/books/1327880508m/1103.jpg,https://images.gr-assets.com/books/1327880508s/1103.jpg
293,295,295,3077988,2573,753453800,9780753453800.0,Robert Louis Stevenson,1882.0,Treasure Island,Treasure Island,eng,3.82,268012,310515,7917,5349,19127,86487,114968,84584,https://images.gr-assets.com/books/1485248909m/295.jpg,https://images.gr-assets.com/books/1485248909s/295.jpg
298,2493,2493,3234863,1248,451528557,9780451528550.0,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0,The Time Machine,The Time Machine,eng,3.87,276076,303730,7353,3570,16119,81773,118129,84139,https://images.gr-assets.com/books/1327942880m/2493.jpg,https://images.gr-assets.com/books/1327942880s/2493.jpg
337,13,13,135328,32,345453743,9780345453750.0,Douglas Adams,1996.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,The Ultimate Hitchhiker's Guide to the Galaxy,eng,4.37,222842,238420,4254,2657,6328,26431,66655,136349,https://images.gr-assets.com/books/1404613595m/13.jpg,https://images.gr-assets.com/books/1404613595s/13.jpg
371,350,350,908211,130,441788386,9780441788380.0,Robert A. Heinlein,1961.0,Stranger in a Strange Land,Stranger in a Strange Land,eng,3.91,220301,229222,6293,10416,16204,45343,69937,87322,https://images.gr-assets.com/books/1156897088m/350.jpg,https://images.gr-assets.com/books/1156897088s/350.jpg
374,21,21,2305997,155,076790818X,9780767908180.0,Bill Bryson,2003.0,A Short History of Nearly Everything,A Short History of Nearly Everything,en-US,4.19,191535,206367,9065,3514,7196,29992,71534,94131,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
383,1241,1241,3140930,69,307276902,9780307276900.0,James Frey,2003.0,A Million Little Pieces,A Million Little Pieces,en-CA,3.62,184241,189931,10857,9619,18950,51504,63727,46131,https://images.gr-assets.com/books/1483206985m/1241.jpg,https://images.gr-assets.com/books/1483206985s/1241.jpg
388,50,50,1158125,93,689840926,9780689840920.0,Gary Paulsen,1986.0,Hatchet,"Hatchet (Brian's Saga, #1)",en-US,3.68,222553,231963,10378,12070,22390,59179,73180,65144,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
397,343,343,2977727,364,140120831,9780140120840.0,"Patrick Süskind, John E. Woods",1985.0,Das Parfum. Die Geschichte eines Mörders,Perfume: The Story of a Murderer,eng,4.0,178135,222754,10057,5659,12862,41804,78658,83771,https://images.gr-assets.com/books/1409112276m/343.jpg,https://images.gr-assets.com/books/1409112276s/343.jpg
398,1097,1097,2207547,61,60838582,9780060838580.0,Eric Schlosser,2001.0,Fast Food Nation : The Dark Side of the All-American Meal ,Fast Food Nation: The Dark Side of the All-American Meal,eng,3.73,179347,183361,5063,7881,12314,47602,69009,46555,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
489,2547,2547,2938937,721,000100039X,9780001000390.0,Kahlil Gibran,1923.0,The Prophet,The Prophet,eng,4.22,142641,164552,6263,2748,6601,24667,47472,83064,https://images.gr-assets.com/books/1355046521m/2547.jpg,https://images.gr-assets.com/books/1355046521s/2547.jpg
508,1869,1869,1840613,57,805063897,9780805063900.0,Barbara Ehrenreich,2001.0,Nickel and Dimed: On (Not) Getting By in America,Nickel and Dimed: On (Not) Getting By in America,eng,3.6,152786,157470,5723,10628,14572,40395,53783,38092,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
514,3590,3590,1222101,1235,192835084,9780192835090.0,Arthur Conan Doyle,1892.0,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,eng,4.29,139816,184991,4922,864,3047,24897,68111,88072,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
550,3109,3109,3287769,54,1594200823,9781594200820.0,Michael Pollan,2006.0,The Omnivore's Dilemma,The Omnivore's Dilemma: A Natural History of Four Meals,eng,4.17,133271,147664,11843,1566,4451,22055,58252,61340,https://images.gr-assets.com/books/1393804353m/3109.jpg,https://images.gr-assets.com/books/1393804353s/3109.jpg
560,2175,2175,2766347,1682,192840398,9780192840390.0,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856.0,Madame Bovary,Madame Bovary,eng,3.64,158877,186553,7617,7682,18771,51707,62328,46065,https://images.gr-assets.com/books/1335676143m/2175.jpg,https://images.gr-assets.com/books/1335676143s/2175.jpg
561,378,378,1782584,82,394820371,9780394820380.0,"Norton Juster, Jules Feiffer",1961.0,The Phantom Tollbooth,The Phantom Tollbooth,en-US,4.22,178432,185392,8011,2848,6922,27918,56237,91467,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
573,1274,1274,55001,202,60574216,9780060574220.0,John Gray,1998.0,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships","Men Are from Mars, Women Are from Venus",en-US,3.52,113915,129520,4191,8235,15283,38147,36751,31104,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
586,3682,3682,2113193,65,689875347,9780689875340.0,Libba Bray,2003.0,A Great and Terrible Beauty,"A Great and Terrible Beauty (Gemma Doyle, #1)",eng,3.79,173613,182107,8902,6620,16645,44166,56502,58174,https://images.gr-assets.com/books/1284558475m/3682.jpg,https://images.gr-assets.com/books/1284558475s/3682.jpg
629,1431,1431,3287043,229,61124265,9780061124270.0,"Paulo Coelho, Margaret Jull Costa",1998.0,Veronika decide morrer,Veronika Decides to Die,eng,3.69,111856,132191,6063,5217,12725,35174,43885,35190,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
639,93,93,1738595,771,753454947,9780753454950.0,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",1880.0,Heidi,Heidi,eng,3.97,144497,154669,2667,2236,8362,37291,50838,55942,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
658,3805,3805,941200,133,1841156736,9781841156740.0,Jonathan Franzen,2001.0,The Corrections,The Corrections,eng,3.78,117657,131271,8201,6684,10960,27173,46440,40014,https://images.gr-assets.com/books/1355011305m/3805.jpg,https://images.gr-assets.com/books/1355011305s/3805.jpg
680,1005,30186948,1199320,709,1585424331,9781585424340.0,Napoleon Hill,1937.0,Think and Grow Rich,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,eng,4.17,87445,117444,3272,2764,5469,18408,33331,57472,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
687,1067,1067,3364186,38,743226720,9780743226720.0,David McCullough,2005.0,1776,1776,eng,4.06,130293,135378,5963,3155,5468,23230,51681,51844,https://images.gr-assets.com/books/1306787560m/1067.jpg,https://images.gr-assets.com/books/1306787560s/1067.jpg
708,1430,1430,1950213,194,60589280,9780060589290.0,"Paulo Coelho, Margaret Jull Costa",2003.0,Onze minutos,Eleven Minutes,eng,3.69,102206,116141,5444,4444,11306,31202,38487,30702,https://images.gr-assets.com/books/1358266987m/1430.jpg,https://images.gr-assets.com/books/1358266987s/1430.jpg
726,2373,2373,2589896,109,451188454,9780451188460.0,Jeffery Deaver,1997.0,The Bone Collector,"The Bone Collector (Lincoln Rhyme, #1)",en-US,4.18,120541,125250,1785,1165,3101,20494,47836,52654,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
857,902,902,869832,38,014240120X,9780142401200.0,Ellen Raskin,1978.0,The Westing Game,The Westing Game,eng,4.03,117108,124343,7814,2682,6710,24165,41664,49122,https://images.gr-assets.com/books/1356850909m/902.jpg,https://images.gr-assets.com/books/1356850909s/902.jpg
870,2199,2199,2861004,40,743270754,9780743270760.0,"Doris Kearns Goodwin, Suzanne Toren",2005.0,Team of Rivals: The Political Genius of Abraham Lincoln,Team of Rivals: The Political Genius of Abraham Lincoln,eng,4.3,102923,107944,5875,3306,3095,11140,31184,59219,https://images.gr-assets.com/books/1347278868m/2199.jpg,https://images.gr-assets.com/books/1347278868s/2199.jpg
893,870,870,1959820,37,1591169208,9781591169210.0,"Hiromu Arakawa, Akira Watanabe",2002.0,鋼の錬金術師 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",eng,4.49,93990,94768,1103,972,1734,8737,21751,61574,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
901,4965,4965,3211895,20,142001430,9780142001430.0,Geraldine Brooks,2001.0,Year of Wonders: A Novel of the Plague,Year of Wonders,eng,4.0,104283,108029,8124,1491,4853,21931,43557,36197,https://images.gr-assets.com/books/1327936622m/4965.jpg,https://images.gr-assets.com/books/1327936622s/4965.jpg
912,6427,6427,617151,76,140255559,9780140255550.0,Janet Evanovich,1996.0,Two for the Dough,"Two for the Dough (Stephanie Plum, #2)",eng,4.11,116171,127548,4045,458,3089,25824,51020,47157,https://images.gr-assets.com/books/1330926461m/6427.jpg,https://images.gr-assets.com/books/1330926461s/6427.jpg
963,5350,5350,1110983,118,385339100,9780385339100.0,John Grisham,1997.0,The Partner,The Partner,,3.89,86870,91921,1896,746,4116,25227,36009,25823,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
964,30,30,89369,74,345538374,9780345538380.0,J.R.R. Tolkien,1973.0,The Hobbit and The Lord of the Rings,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,eng,4.59,90907,94348,1565,826,1281,5819,19982,66440,https://images.gr-assets.com/books/1346072396m/30.jpg,https://images.gr-assets.com/books/1346072396s/30.jpg
969,1911,1911,711993,83,374292795,9780374292800.0,Thomas L. Friedman,2005.0,The World Is Flat: A Brief History of the Twenty-first Century,The World Is Flat: A Brief History of the Twenty-first Century,en-US,3.66,78271,83905,3277,3342,7529,22896,30500,19638,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1042,365,365,1042123,83,671746723,9780671746730.0,Douglas Adams,1987.0,Dirk Gently's Holistic Detective Agency,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),en-US,3.97,89569,96230,2408,993,4735,22168,36270,32064,https://images.gr-assets.com/books/1404697381m/365.jpg,https://images.gr-assets.com/books/1404697381s/365.jpg
1078,1633,1633,5759,115,142000280,9780142000280.0,David    Allen,2001.0,Getting Things Done: How To Achieve Stress-free Productivity,Getting Things Done: The Art of Stress-Free Productivity,en-GB,3.98,75665,82166,3586,2135,4336,16752,28650,30293,https://images.gr-assets.com/books/1312474060m/1633.jpg,https://images.gr-assets.com/books/1312474060s/1633.jpg
1096,706,706,1589081,20,713998946,9780713998950.0,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",2004.0,America (The Book): A Citizen's Guide to Democracy Inaction,America (The Book): A Citizen's Guide to Democracy Inaction,eng,4.02,74511,79555,1378,1072,3011,16474,31432,27566,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1105,106,106,3634570,140,441172695,9780441172700.0,Frank Herbert,1969.0,Dune Messiah ,Dune Messiah (Dune Chronicles #2),eng,3.86,82580,90432,2283,1026,5333,23541,36242,24290,https://images.gr-assets.com/books/1392528394m/106.jpg,https://images.gr-assets.com/books/1392528394s/106.jpg
1142,816,816,1166797,3,60512806,9780060512800.0,Neal Stephenson,1999.0,Cryptonomicon,Cryptonomicon,eng,4.25,72683,81409,4342,1223,2983,10487,26399,40317,https://images.gr-assets.com/books/1327931476m/816.jpg,https://images.gr-assets.com/books/1327931476s/816.jpg
1154,1301,1301,416305,39,393324818,9780393324820.0,Michael   Lewis,2003.0,Moneyball: The Art of Winning an Unfair Game,Moneyball: The Art of Winning an Unfair Game,en-US,4.24,66406,71498,4030,807,1589,9096,27836,32170,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1160,2052,2052,1222673,238,394758285,9780394758280.0,Raymond Chandler,1939.0,The Big Sleep,"The Big Sleep (Philip Marlowe, #1)",eng,4.04,84489,90652,3884,1521,4056,17190,34743,33142,https://images.gr-assets.com/books/1371584712m/2052.jpg,https://images.gr-assets.com/books/1371584712s/2052.jpg
1216,3273,3273,3303291,20,312304358,9780312304360.0,Alan Brennert,2003.0,Moloka'i,Moloka'i,en-US,4.15,75307,81313,7740,815,2666,12907,32048,32877,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1224,771,8049273,907243,75,375708111,9780375708110.0,Brian Greene,1999.0,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",en-US,4.06,32626,69530,1563,1482,2773,12304,26557,26414,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1262,112,112,3634573,116,441104029,9780441104020.0,Frank Herbert,1976.0,Children of Dune,Children of Dune (Dune Chronicles #3),eng,3.9,74133,79736,1374,861,4425,20138,30723,23589,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1332,360,569429,2842984,107,345418778,9780345418780.0,Douglas Adams,1992.0,Mostly Harmless,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",en-US,3.96,72426,83424,1788,856,4729,20017,28884,28938,https://images.gr-assets.com/books/1320725132m/360.jpg,https://images.gr-assets.com/books/1320725132s/360.jpg
1392,599,599,929649,16,743236017,9780743236010.0,Chuck Klosterman,2003.0,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",en-US,3.75,56548,57867,3344,1756,4741,14755,21605,15010,https://images.gr-assets.com/books/1380742001m/599.jpg,https://images.gr-assets.com/books/1380742001s/599.jpg
1449,28,28,940892,63,380727501,9780380727510.0,Bill Bryson,1995.0,Notes from a Small Island,Notes from a Small Island,eng,3.91,66947,72421,3323,1073,3717,17241,29024,21366,https://images.gr-assets.com/books/1479653223m/28.jpg,https://images.gr-assets.com/books/1479653223s/28.jpg
1454,7714,7714,184399,416,486282228,9780486282220.0,George Bernard Shaw,1912.0,Pygmalion,Pygmalion,en-US,3.9,70079,75603,1664,895,4044,19262,29217,22185,https://images.gr-assets.com/books/1453757285m/7714.jpg,https://images.gr-assets.com/books/1453757285s/7714.jpg
